ISBN,Control Number,Title
9780525577515,on1041852366,Save the rainbow! / by Kristen L. Depken ; illustrated by Dave Aikins.
9780525577522,on1041852366,Save the rainbow! / by Kristen L. Depken ; illustrated by Dave Aikins.
9780525578000,  2017047081,Too many cupcakes! / by David Lewman ; illustrated by Fabio Laguna and Grace Mills.
9780525578017,  2017047081,Too many cupcakes! / by David Lewman ; illustrated by Fabio Laguna and Grace Mills.
9780525578208,on1041852648,Robot power! / by Celeste Sisler ; illustrated by Dave Aikins.
9780525578215,on1041852648,Robot power! / by Celeste Sisler ; illustrated by Dave Aikins.
9780525579649,  2017027975,All are welcome / Alexandra Penfold ; Suzanne Kaufman.
9780525579656,  2017027975,All are welcome / Alexandra Penfold ; Suzanne Kaufman.
9780525579779,bl2018053174,Antes de ser libres / Julia Alvarez ; [traducido del ingles por Liliana Valenzuela].
9780525646006,  2018005173,Catch that crook! / by Laura Hitchcock ; illustrated by Elisabetta Melaranci and Giulia Priori.
9780525646020,  2018005173,Catch that crook! / by Laura Hitchcock ; illustrated by Elisabetta Melaranci and Giulia Priori.
9780525646051,in901813998,Dr. Seuss's 123 / Dr. Seuss.
9780525646068,in901813998,Dr. Seuss's 123 / Dr. Seuss.
9780529106612,bl2014019159,"Camila, el hada de los pastelillos / escrito por Tim Bugbird ; ilustrado por Lara Ede."
9780531070352,in900140434,When I am old with you / story by Angela Johnson ; pictures by David Soman.
9780531070406,bt 09222894,Do like Kyla / by Angela Johnson ; paintings by James E. Ransome.
9780531071663,bt 90012414,Hush! : a Thai lullaby / by Minfong Ho ; pictures by Holly Meade.
9780531147580,  2007016127,Horace Pippin / written and illustrated by Mike Venezia.
9780531149751,  2008002307,Albert Einstein : universal genius / written and illustrated by Mike Venezia.
9780531149782,  2008002306,Thomas Edison : inventor with a lot of bright ideas / written and illustrated by Mike Venezia.
9780531185278,  2007016127,Horace Pippin / written and illustrated by Mike Venezia.
9780531205921,  2014035679,Hillary Clinton / by Jodie Shepherd ; poem by Jodie Shepherd.
9780531209943,  2014035679,Hillary Clinton / by Jodie Shepherd ; poem by Jodie Shepherd.
9780531212592,  2015020971,Frida Kahlo / written and illustrated by Mike Venezia.
9780531212615,  2015020969,Diego Rivera / written and illustrated by Mike Venezia.
9780531212622,  2015022173,Salvador Dali / written and illustrated by Mike Venezia.
9780531213216,  2015020971,Frida Kahlo / written and illustrated by Mike Venezia.
9780531213230,  2015020969,Diego Rivera / written and illustrated by Mike Venezia.
9780531213247,  2015022173,Salvador Dali / written and illustrated by Mike Venezia.
9780531213377,  2008027650,Stephen Hawking : cosmologist who gets a big bang out of the universe / written and illustrated by Mike Venezia.
9780531215715,  2015005369,Selena Gomez / by Marie Morreale.
9780531216637,  2015005369,Selena Gomez / by Marie Morreale.
9780531216668,  2015035326,Paul Gauguin / written and illustrated by Mike Venezia.
9780531216675,  2015037160,Francisco Goya / written and illustrated by Mike Venezia.
9780531216682,  2015037159,Pierre Auguste Renoir / written and illustrated by Mike Venezia.
9780531216699,  2015036563,Paul Cezanne / written and illustrated by Mike Venezia.
9780531219768,  2014014727,Pablo Picasso / written and illustrated by Mike Venezia.
9780531219775,  2014015029,Michelangelo / written and illustrated by Mike Venezia.
9780531219782,  2014014732,Vincent van Gogh / written and illustrated by Mark Venezia.
9780531219799,  2014014724,Claude Monet / written and illustrated by Mike Venezia
9780531220580,  2016045671,Wolfgang Amadeus Mozart / written and illustrated by Mike Venezia.
9780531220597,  2016045941,Ludwig van Beethoven / written and illustrated by Mike Venezia.
9780531220603,  2016045688,Johann Sebastian Bach / written and illustrated by Mike Venezia.
9780531220863,  2016022630,Sandro Botticelli / written and illustrated by Mike Venezia ; consultant Sara Mollman Underhill.
9780531220870,  2016022631,Edgar Degas / written and illustrated by Mike Venezia.
9780531220887,  2016022632,El Greco / written and illustrated by Mike Venezia.
9780531220894,  2016022633,Jackson Pollock / written and illustrated by Mike Venezia ; consultant Meg Moss.
9780531221051,  2015035326,Paul Gauguin / written and illustrated by Mike Venezia.
9780531221068,  2015037160,Francisco Goya / written and illustrated by Mike Venezia.
9780531221075,  2015037159,Pierre Auguste Renoir / written and illustrated by Mike Venezia.
9780531221082,  2015036563,Paul Cezanne / written and illustrated by Mike Venezia.
9780531221884,  2016022630,Sandro Botticelli / written and illustrated by Mike Venezia ; consultant Sara Mollman Underhill.
9780531221891,  2016022631,Edgar Degas / written and illustrated by Mike Venezia.
9780531221907,  2016022632,El Greco / written and illustrated by Mike Venezia.
9780531221914,  2016022633,Jackson Pollock / written and illustrated by Mike Venezia ; consultant Meg Moss.
9780531222065,  2008002307,Albert Einstein : universal genius / written and illustrated by Mike Venezia.
9780531222096,  2008002306,Thomas Edison : inventor with a lot of bright ideas / written and illustrated by Mike Venezia.
9780531222409,  2016045671,Wolfgang Amadeus Mozart / written and illustrated by Mike Venezia.
9780531222416,  2016045941,Ludwig van Beethoven / written and illustrated by Mike Venezia.
9780531222423,  2016045688,Johann Sebastian Bach / written and illustrated by Mike Venezia.
9780531224588,  2016022865,You wouldn't want to live without bees! / written by Alex Woolf ; illustrated by David Antram.
9780531224601,  2016022869,You wouldn't want to live without glass! / written by Ian Graham ; illustrated by Mark Bergin.
9780531224618,  2016022870,You wouldn't want to live without math! / written by Anne Rooney ; illustrated by Mark Bergin.
9780531224625,  2016022866,You wouldn't want to live without nurses! / written by Fiona Macdonald ; illustrated by David Antram.
9780531224632,  2016022868,You wouldn't want to live without trees! / written by Jim Pipe ; illustrated by Mark Bergin.
9780531224878,  2016022865,You wouldn't want to live without bees! / written by Alex Woolf ; illustrated by David Antram.
9780531224892,  2016022869,You wouldn't want to live without glass! / written by Ian Graham ; illustrated by Mark Bergin.
9780531224908,  2016022870,You wouldn't want to live without math! / written by Anne Rooney ; illustrated by Mark Bergin.
9780531224915,  2016022866,You wouldn't want to live without nurses! / written by Fiona Macdonald ; illustrated by David Antram.
9780531224922,  2016022868,You wouldn't want to live without trees! / written by Jim Pipe ; illustrated by Mark Bergin.
9780531225370,  2014014727,Pablo Picasso / written and illustrated by Mike Venezia.
9780531225387,  2014015029,Michelangelo / written and illustrated by Mike Venezia.
9780531225394,  2014014732,Vincent van Gogh / written and illustrated by Mark Venezia.
9780531225400,  2014014724,Claude Monet / written and illustrated by Mike Venezia
9780531226575,  2017022724,Frederic Chopin / written and illustrated by Mike Venezia.
9780531226599,  2017022723,George Gershwin / written and illustrated by Mike Venezia.
9780531228678,  2017048074,"Aaron Copland / written and illustrated by Mike Venezia ; consultant, Donald Freund."
9780531228685,  2017048082,"Peter Tchaikovsky / written and illustrated by Mike Venezia ; consultant, Donald Freund."
9780531228708,  2017048072,George Handel / written and illustrated by Mike Venezia.
9780531230350,  2017022724,Frederic Chopin / written and illustrated by Mike Venezia.
9780531230374,  2017022723,George Gershwin / written and illustrated by Mike Venezia.
9780531233702,  2017048074,"Aaron Copland / written and illustrated by Mike Venezia ; consultant, Donald Freund."
9780531233719,  2017048082,"Peter Tchaikovsky / written and illustrated by Mike Venezia ; consultant, Donald Freund."
9780531233733,  2017048072,George Handel / written and illustrated by Mike Venezia.
9780531237281,  2008027650,Stephen Hawking : cosmologist who gets a big bang out of the universe / written and illustrated by Mike Venezia.
9780531244005,  2009004774,Jack's room.
9780531245750,  2009004774,Jack's room.
9780531250310,  2011011310,Ellis Island / by Melissa McDaniel.
9780531261170,  2011011647,Un diente esta flojo / escrito por Lisa Trumbauer ; ilustrado por Steve Gray.
9780531261194,  2011011423,Puedo hacer de todo / escrito por Mary E. Pearson ; ilustrado por Jeff Shelly.
9780531265567,  2011011310,Ellis Island / by Melissa McDaniel.
9780531267851,  2011011647,Un diente esta flojo / escrito por Lisa Trumbauer ; ilustrado por Steve Gray.
9780531267875,  2011011423,Puedo hacer de todo / escrito por Mary E. Pearson ; ilustrado por Jeff Shelly.
9780531360019,   96004001,The graphic alphabet / David Pelletier.
9780544087088,  2012045936,How to catch a bogle / Catherine Jinks ; illustrated by Sarah Watts.
9780544095700,bt2013123281,Curious George builds an igloo / adaptation by Erica Zappy ; based on the TV series teleplay written by Kathy Waugh.
9780544096660,bt2013123281,Curious George builds an igloo / adaptation by Erica Zappy ; based on the TV series teleplay written by Kathy Waugh.
9780544105089,bl2013037652,Emma's poem : the voice of the Statue of Liberty / by Linda Glaser ; with paintings by Claire A. Nivola.
9780544105690,ocn867078142,Bats in the band / written and illustrated by Brian Lies.
9780544130012,  2013036934,Gingerbread for liberty! : how a German baker helped win the American Revolution / Mara Rockliff ; pictures by Vincent X. Kirsch.
9780544228016,  2009032964,Never smile at a monkey : and 17 other important things to remember / Steve Jenkins.
9780544233515,  2013050143,Creature features : 25 animals explain why they look the way they do / Steve Jenkins & Robin Page.
9780544237773,bt2013127729,A home for honeybees / adaptation by Julie Tibbott ; based on the TV series teleplay written by Ron Holsey.
9780544237919,bt2013127729,A home for honeybees / adaptation by Julie Tibbott ; based on the TV series teleplay written by Ron Holsey.
9780544252301,  2013043952,Ivan : the remarkable true story of the Shopping Mall Gorilla / Katherine Applegate ; illustrated by G. Brian Karas.
9780544319608,  2014048562,Nadia : the girl who couldn't sit still / by Karlin Gray ; illustrated by Christine Davenier.
9780544319615,  2014048563,The hole story of the doughnut / Pat Miller ; illustrated by Vincent X. Kirsch.
9780544336094,ocn885225457,The American heritage picture dictionary / by the editors of the American heritage dictionaries ; illustrations by Maggie Swanson.
9780544502024,  2015296185,Fire dog rescue / adaptation by Julie Tibbott ; based on the TV series teleplay written by Scott Gray.
9780544503205,  2015296185,Fire dog rescue / adaptation by Julie Tibbott ; based on the TV series teleplay written by Scott Gray.
9780544506725,  2015020436,Agatha Parrot and the Odd Street School ghost / typed out neatly by Kjartan Poskitt ; illustrated by Wes Hargis.
9780544534322,  2014028513,When mischief came to town / by Katrina Nannestad.
9780544542723,in901367668,The American Heritage children's thesaurus / by Paul Hellweg with the editors of the American Heritage dictionaries.
9780544570986,ocn913923866,Booked / by Kwame Alexander.
9780544602274,  2015013893,Far from fair / Elana K. Arnold.
9780544610552,  2016032910,Cat wishes / words by Calista Brill ; pictures by Kenard Pak.
9780544611634,  2015015724,The kid from Diamond Street : the extraordinary story of baseball legend Edith Houghton / written by Audrey Vernick ; illustrated by Steven Salerno.
9780544664456,  2015039038,"Ever the hunted : ever the outcast, ever the brave / Erin Summerill."
9780544664463,in901643647,Ever the brave / Erin Summerill.
9780544785854,bl2016042662,Subway train adventure.
9780544800328,bl2016042662,Subway train adventure.
9780544867048,bl2017013081,Curious George builds a tree house.
9780544867628,bl2017013081,Curious George builds a tree house.
9780544912601,  2016038369,"Lights, camera, cook! / by Charise Mericle Harper ; with illustrations by Aurelie Blard-Quintard."
9780544935266,in9015681564,The girl who could not dream / Sarah Beth Durst.
9780544971189,  2017010165,Lost! / by Terry Lynn Johnson ; illustrated by Jani Orban.
9780544974616,ocn985509823,Jorge el curioso construye una casa en un arbol = Curious George builds a tree house / adaptation by Julie Tibbott ; based on the TV series teleplay written by Joe Fallon / adaptacion de Julie Tibbott ; basado en la serie de television escrita por Joe Fallon ; traducido por Carlos E. Calvo.
9780544974623,ocn985509823,Jorge el curioso construye una casa en un arbol = Curious George builds a tree house / adaptation by Julie Tibbott ; based on the TV series teleplay written by Joe Fallon / adaptacion de Julie Tibbott ; basado en la serie de television escrita por Joe Fallon ; traducido por Carlos E. Calvo.
9780545004930,020719082653,Just a mess / Mercer Mayer.
9780545016575,021219100122,Sight Word Tales. What shall I bring the King? / Maria Fleming.
9780545035200,bl2008014798,Monster blood / R.L. Stine.
9780545035248,ocn233550488,Be careful what you wish for / R.L. Stine.
9780545044226,  2008014238,Living sunlight : how plants bring the earth to life / by Molly Bang & Penny Chisholm ; illustrated by Molly Bang.
9780545046510,ocn500797337,Bones : skeletons and how they work / Steve Jenkins.
9780545052405,bl2009036556,11 birthdays / by Wendy Mass.
9780545068925,020519144956,The New Bear at School / Carrie Weston.
9780545070928,  2010502462,Louise the Lily Fairy / by Daisy Meadows.
9780545074575,csp00019384,What do you do with a kangaroo? [sound recording (CD kit)] / by Mercer Mayer.
9780545075442,020619132100,Ruthie and the (Not So) Teeny Tiny Lie / Laura Rankin.
9780545077491,csp00019384,What do you do with a kangaroo? [sound recording (CD kit)] / by Mercer Mayer.
9780545103770,  2011283189,"Save the white whale! / text by Geronimo Stilton ; illustrations by Sara Copercini (pencils), Riccardo Sisti (ink) and Christian Aliprandi (color) ; translated by Lidia Tramontozzi."
9780545104555,020619084227,How do Dinosaurs Go to School? / Jane Yolen.
9780545104876,  2009032700,George Washington's spy : a time travel adventure / Elvira Woodruff.
9780545106146,ocn310398711,Gabriella the snow kingdom fairy / by Daisy Meadows.
9780545143158,  2012040941,How do dinosaurs say I'm mad? / Jane Yolen ; illustrated by Mark Teague.
9780545145466,030819091554,Guided Reading Program Fiction Focus 2nd Edition Teacher's Guide / Gay Su Pinnell.
9780545158879,bl2009033775,A night in terror tower / R.L. Stine.
9780545165334,021219092812,After School Fun / May Nelson.
9780545166683,  2012040378,"Hi, Koo! : a year of seasons / presented by Koo and John J. Muth."
9780545206389,  2011039316,Snakes / Nic Bishop.
9780545208895,in900791672,"Amulet. Book five, Prince of the elves / Kazu Kibuishi."
9780545211222,020719153234,"Click, Clack, Quackity-Quack An Alphabetical Adventure / Doreen Cronin."
9780545214919,bl2010018399,Something upstairs / Avi.
9780545217651,021219155529,Lola en la biblioteca / Anna Mcquinn.
9780545220880,ocn608693427,The Magic School Bus lost in the solar system [sound recording] / Joanna Cole & Bruce Degen.
9780545222686,  2011002131,"Those rebels, John & Tom / by Barbara Kerley ; illustrated by Edwin Fotheringham."
9780545223256,bl2012002164,Clifford's field day / Norman Bridwell.
9780545232623,020719150756,I Love My New Toy! / Mo Willems.
9780545239998,021119113333,Chicken Little / Rebecca Emberley.
9780545283830,020619084728,Autumn is for Apples / Michelle Knudsen.
9780545298377,bl2011019427,Vampire breath / R.L. Stine.
9780545331807,  2011028308,Glory be / Augusta Scattergood.
9780545331814,  2011028308,Glory be / Augusta Scattergood.
9780545332828,021119112901,We're Going on a Bear Hunt / Michael Rosen.
9780545354776,  2013011859,Clara and Davie / Patricia Polacco.
9780545359061,  2012005579,Here comes trouble! / written by Corinne Demas ; & pictures by Noah Z. Jones.
9780545381796,  2011047874,Game changers / Mike Lupica.
9780545381826,  2011047874,Game changers / Mike Lupica.
9780545417976,bl2013029908,The haunted mask / R.L. Stine.
9780545417983,  2012289766,Planet of the lawn gnomes / R.L. Stine.
9780545417990,  2012285482,Son of Slappy / R.L. Stine.
9780545418027,bt2013107879,Dr. Maniac will see you now / R.L. Stine.
9780545424974,bl2015056797,"Blue Lily, Lily Blue / Maggie Stiefvater."
9780545453547,020619143410,More Bears! / Kenn Nesbitt.
9780545458139,aac00131053,Junie B. Jones es la capitana del Dia de Juegos / Barbara Park ; ilustrado por Denise Brunkus ; [translated by Juan Pablo Lombana].
9780545522434,  2013932302,Wild born / Brandon Mull.
9780545522441,  2013947126,Hunted / Maggie Stiefvater.
9780545530880,ocn820783252,Los tres cerditos y el lobo no tan feroz / Mark Teague ; [translated by J.P. Lombana].
9780545540599,  2013008700,Sisters / Raina Telgemeier ; with color by Braden Lamb.
9780545540605,  2013008700,Sisters / Raina Telgemeier ; with color by Braden Lamb.
9780545540612,  2016004672,Ghosts / Raina Telgemeier with color by Braden Lamb.
9780545540629,  2016004672,Ghosts / Raina Telgemeier with color by Braden Lamb.
9780545554497,  2012005579,Here comes trouble! / written by Corinne Demas ; & pictures by Noah Z. Jones.
9780545577854,  2014000215,Buried sunlight : how fossil fuels have changed the Earth / by Molly Bang & Penny Chisholm ; illustrated by Molly Bang.
9780545581608,ocn936350495,Dog Man / written and illustrated by Dav Pilkey as George Beard Harry Hutchins with color by Jose Garibaldi.
9780545586177,bl2013026103,Catching fire / Suzanne Collins.
9780545594783,bl2013027627,Shoe-la-la! / by Karen Beaumont ; illustrated by LeUyen Pham.
9780545599719,  2013932302,Wild born / Brandon Mull.
9780545599726,  2013947126,Hunted / Maggie Stiefvater.
9780545619417,  2015030705,Duck on a tractor / David Shannon.
9780545619431,  2016041994,Bizzy Mizz Lizzie / David Shannon.
9780545627757,  2016299708,Night of the puppet people / R.L. Stine.
9780545627764,  2013362582,Zombie halloween / R.L. Stine.
9780545627771,  2015295997,The 12 screams of Christmas / R.L. Stine.
9780545627801,ocn867863113,Como dicen estoy enojado los dinosaurios? / Jane Yolen ; ilustrado por Mark Teague ; translated by Juan Pablo Lombana.
9780545630146,ocn869757586,Ricky Ricotta's mighty robot vs. the stupid stinkbugs from Saturn / story by Dav Pilkey ; art by Dan Santat.
9780545631211,ocn869757586,Ricky Ricotta's mighty robot vs. the stupid stinkbugs from Saturn / story by Dav Pilkey ; art by Dan Santat.
9780545638395,  2013027613,Moldylocks and the three beards / by Noah Z. Jones.
9780545638401,  2013027613,Moldylocks and the three beards / by Noah Z. Jones.
9780545638531,022619090354,Everyone's favorite classroom pet! Winter according to Humphrey / Betty G. Birney.
9780545663267,bl2014005581,Mockingjay / Suzanne Collins.
9780545682428,  2014046788,A night divided / Jennifer A. Nielsen.
9780545682442,  2014046788,A night divided / Jennifer A. Nielsen.
9780545683555,020619135721,Surfer Chick / Kristy Dempsey.
9780545684392,021219093657,The Snatchabook Who's stealing all the stories? / Helen Docherty.
9780545709255,021219155415,Tortillas are Round. Las tortillas son redondas. A book of shapes / Roseanne Greenfield Thong.
9780545722933,ocn898580924,El Chavo : la carrera de autos = the car race / adaptado por/adapted by Samantha Brooke ; traducido por/ translated by Juan Pablo Lombana.
9780545723541,ocn893896437,"Lola, el hada de los desfiles / Daisy Meadows ; translated by Karina Geada."
9780545723558,ocn893896433,"Brooke, el hada fotografa / Daisy Meadows ; [translated by Karina Geada]."
9780545723572,ocn893896436,"Jennifer, el hada estilista / Daisy Meadows ; [translated by Karina Geada]."
9780545723596,ocn893896159,"Alexa, el hada reportera de moda / Daisy Meadows ; [translated by Karina Geada]."
9780545723602,ocn893896395,"Tyra, el hada disenadora / Daisy Meadows ; [translated by Karina Geada]."
9780545723626,ocn893896434,"Claudia, el hada de los accesorios / Daisy Meadows ; [translated by Karina Geada]."
9780545734257,022619095118,Mr. Jack is a maniac! / Dan Gutman.
9780545769778,ocn881206734,Planetas / Gail Tuchman.
9780545770330,ocn881206712,Los animales polares / Susan Hayes y Tory Gordon-Harris.
9780545780483,020619132704,Rufus Goes to School / Kim T. Griswell.
9780545782241,  2014022758,Five epic disasters / by Lauren Tarshis.
9780545795432,bl2015020051,Un dia una senora se trago una mosca! / Lucille Colandro ; ilustrado por Jared Lee ; translated by J.P. Lombana.
9780545812573,ocn960835941,George / Alex Gino.
9780545822541,bl2015034292,Night of the living monsters / adapted by Kate Howard.
9780545828789,bl2015021496,A shocker on Shock Street / R.L. Stine.
9780545828796,bl2015016595,Let's get invisible / R.L. Stine.
9780545828802,bl2015016594,Night of the living dummy II / R.L. Stine.
9780545828826,bl2015016590,The abominable snowman of Pasadena / R.L. Stine.
9780545828840,bl2015016773,The ghost next door / R.L. Stine.
9780545828857,bl2015016586,The haunted car / R.L. Stine.
9780545828864,bl2015016588,Attack of the graveyard ghouls / R.L. Stine.
9780545843430,020719150833,Can I Play Too? / Mo Willems.
9780545843454,020719150701,A Big Guy Took My Ball! / Mo Willems.
9780545849708,020619135518,Charlie and the New Baby / Ree Drummond.
9780545870726,  2016016951,Meet the Bobs and Tweets / by Pepper Springfield ; illustrated by Kristy Caldwell.
9780545883788,  2015037023,Ice cream and dinosaurs / by Eric Litwin ; illustrated by Tom Lichtenheld.
9780545904100,  2015048494,Big wish / Brandon Robshaw.
9780545904117,  2015048494,Big wish / Brandon Robshaw.
9780545935180,on1011453169,Dog Man and Cat Kid / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins ; with color by Jose Garibaldi.
9780545935203,ocn957506501,Dog Man unleashed / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins ; with interior color by Jose Garibaldi.
9780545935210,ocn968776661,Dog Man. A tale of two kitties / written and illustrated by Dav Pilkey as George Beard and Harold Hutchins ; with color by Jose Garibaldi.
9780545940320,  2018028989,Storm-wake / Lucy Christopher.
9780545949545,ocn933521659,El libro magico = The magic book / adaptado por Sonia Sander.
9780545949552,  2017295099,Un amigo robot = A robot friend / adaptado por Sonia Sander.
9780547119625,  2009278248,Curious George : pinata party / adaptation by Marcy Goldberg Sacks and Priya Giri Desai.
9780547181813,ocn256490637,Rumpelstiltskin [sound recording] / written and illustrated by Paul Galdone.
9780547199450,  2010044181,Balloons over Broadway : the true story of the puppeteer of Macy's Parade / written and illustrated by Melissa Sweet.
9780547237602,in900401507,The Wednesday wars / Gary D. Schmidt.
9780547238920,  2010044361,If you lived here : houses of the world / Giles Laroche.
9780547243948,  2011009642,First Girl Scout : the life of Juliette Gordon Low / by Ginger Wadsworth.
9780547248318,bl2009029884,Dodsworth in New York / written and illustrated by Tim Egan.
9780547252605,  2009008752,Tumbleweed stew = Sopa de matojos / by Susan Stevens Crummel ; illustrated by Janet Stevens ; translated by F. Isabel Campoy and Alma Flor Ada.
9780547252612,  2009008752,Tumbleweed stew = Sopa de matojos / by Susan Stevens Crummel ; illustrated by Janet Stevens ; translated by F. Isabel Campoy and Alma Flor Ada.
9780547255477,  2009008751,"The big, big wall / by Reginald Howard ; illustrated by Ariane Dewey and and Jose Aruego ; [translated by F. Isabel Campoy and Alma Flor Ada] = No puedo bajar / por Reginald Howard ; ilustrado por Ariane Dewey and Jose Aruego ; [traducido por F. Isabel Campoy y Alma Flor Ada]."
9780547255484,  2009008751,"The big, big wall / by Reginald Howard ; illustrated by Ariane Dewey and and Jose Aruego ; [translated by F. Isabel Campoy and Alma Flor Ada] = No puedo bajar / por Reginald Howard ; ilustrado por Ariane Dewey and Jose Aruego ; [traducido por F. Isabel Campoy y Alma Flor Ada]."
9780547333328,  2010513674,Mouse paint / Ellen Stoll Walsh = Pintura de raton / Ellen Stoll Walsh.
9780547338972,  2009046724,Rabbit and Turtle go to school / Lucy Floyd ; illustrated by Christopher Denise ; translated by F. Isabel Campoy and Alma Flor Ada = Conejo y tortuga van a la escuela / Lucy Floyd ; ilustrado por Christopher Denise ; traducido por F. Isabel Campoy y Alma Flor Ada.
9780547338989,  2009046724,Rabbit and Turtle go to school / Lucy Floyd ; illustrated by Christopher Denise ; translated by F. Isabel Campoy and Alma Flor Ada = Conejo y tortuga van a la escuela / Lucy Floyd ; ilustrado por Christopher Denise ; traducido por F. Isabel Campoy y Alma Flor Ada.
9780547368993,  2009046725,Farmers market / Carmen Parks ; illustrated by Edward Martinez ; translated by F. Isabel Campoy and Alma Flor Ada = Dia de mercado / Carmen Parks ; ilustrado por Edward Martinez ; traducido por F. Isabel Campoy y Alma Flor Ada.
9780547369006,  2009046725,Farmers market / Carmen Parks ; illustrated by Edward Martinez ; translated by F. Isabel Campoy and Alma Flor Ada = Dia de mercado / Carmen Parks ; ilustrado por Edward Martinez ; traducido por F. Isabel Campoy y Alma Flor Ada.
9780547385570,  2011025645,Brothers at bat : the true story of an amazing all-brother baseball team / written by Audrey Vernick ; illustrated by Steven Salerno.
9780547390109,  2010025122,Friends / written by Catherine Thimmesh.
9780547390550,  2011013018,Noah Webster and his words / Jeri Chase Ferris ; illustrated by Vincent X. Kirsch.
9780547438887,  2011281405,Dinosaur tracks / adaptation by Julie Tibbott ; based on the TV series teleplay written by Bruce Akiyama.
9780547449609,  2011281405,Dinosaur tracks / adaptation by Julie Tibbott ; based on the TV series teleplay written by Bruce Akiyama.
9780547513386,  2011025735,Edgar Allan Poe's pie : math puzzlers in classic poems / J. Patrick Lewis ; illustrated by Michael Slack.
9780547557984,  2011281405,Dinosaur tracks / adaptation by Julie Tibbott ; based on the TV series teleplay written by Bruce Akiyama.
9780547599403,in900644924,The gingerbread boy / Paul Galdone.
9780547608389,in900640651,Jumanji / written and illustrated by Chris Van Allsburg.
9780547668550,  2012374888,Little Red Riding Hood : adapted from the retelling by the Brothers Grimm / Paul Galdone.
9780547691145,ocn784292870,"Curious George, home run / adaptation by Erica Zappy ; based on the TV series teleplay written by Lazar Sario [sic.] ; translated by Carlos E. Calvo = Jorge el curioso, el jonron / adaptado por Erica Zappy ; basado en el guion para television escrito por Lazar Sario [sic.] ; traducido por Carlos E. Calvo."
9780547691220,ocn784292870,"Curious George, home run / adaptation by Erica Zappy ; based on the TV series teleplay written by Lazar Sario [sic.] ; translated by Carlos E. Calvo = Jorge el curioso, el jonron / adaptado por Erica Zappy ; basado en el guion para television escrito por Lazar Sario [sic.] ; traducido por Carlos E. Calvo."
9780547734972,in900807465,A sembrar sopa de verduras / Lois Ehlert ; traducido por Alma Flor Ada y F. Isabel Campoy = Growing vegetable soup / Lois Ehlert.
9780547753768,ocn781275846,Miss Nelson has a field day [sound recording] / by Harry Allard.
9780547875071,  2012025531,A boy and a jaguar / written by Alan Rabinowitz ; illustrated by Catia Chien.
9780547903781,  2012036532,Angel Island : gateway to Gold Mountain / Russell Freedman ; Chinese poems translated by Evans Chan.
9780547928227,  2012545250,"The hobbit, or, there and back again / J.R.R. Tolkien."
9780547959092,ocn884298970,Egg : nature's perfect package / Steve Jenkins & Robin Page.
9780547959221,  2013050147,Mr. Ferris and his wheel / written by Kathryn Gibbs Davis ; illustrated by Gilbert Ford.
9780547968193,  2014381465,Curious George : dance party / adaptation by Borana Greku and Alessandra Preziosi.
9780547968209,  2014381465,Curious George : dance party / adaptation by Borana Greku and Alessandra Preziosi.
9780547991344,  2012048466,Scaly spotted feathered frilled : how do we know what dinosaurs really looked like? / by Catherine Thimmesh.
9780553233704,cn 83009083,Emily of New Moon / L.M. Montgomery.
9780553264937,in900025512,Emily's quest / L.M. Montgomery.
9780553269215,in500008280,Rainbow Valley / L.M. Montgomery ; with a biography of L.M. Montgomery by Caroline Parry.
9780553494075,ocm69115541,En busca de milagros / de Julia Alvarez ; traducido por Liliana Valenzuela.
9780553496796,in901368725,Hop on Pop / by Dr. Seuss.
9780553497397,  2014021085,Louise Trapeze is totally 100% fearless / by Micol Ostow ; illustrated by Brigette Barrager.
9780553497403,  2014021085,Louise Trapeze is totally 100% fearless / by Micol Ostow ; illustrated by Brigette Barrager.
9780553509120,  2015018906,Wolf camp / Andrea Zuill.
9780553509137,  2015018906,Wolf camp / Andrea Zuill.
9780553509793,  2014033308,El gato ensombrerado / por Dr. Seuss ; traduccion de Georgina Lazaro y Teresa Mlawer.
9780553509809,  2014033308,El gato ensombrerado / por Dr. Seuss ; traduccion de Georgina Lazaro y Teresa Mlawer.
9780553510232,  2015029134,Excellent Ed / by Stacy McAnulty ; illustrated by Julia Sarcone-Roach.
9780553510249,  2015029134,Excellent Ed / by Stacy McAnulty ; illustrated by Julia Sarcone-Roach.
9780553510409,  2015024473,Mr. Lemoncello's Library Olympics / Chris Grabenstein.
9780553510416,  2015024473,Mr. Lemoncello's Library Olympics / Chris Grabenstein.
9780553510850,  2015023246,Balto of the Blue Dawn / by Mary Pope Osborne ; illustrated by Sal Murdocca.
9780553510867,  2015023246,Balto of the Blue Dawn / by Mary Pope Osborne ; illustrated by Sal Murdocca.
9780553511437,  2017023403,The dinosaur expert / by Margaret McNamara ; illustrated by G. Brian Karas.
9780553511444,  2017023403,The dinosaur expert / by Margaret McNamara ; illustrated by G. Brian Karas.
9780553521375,  2015026501,The last fifth grade of Emerson Elementary / Laura Shovan.
9780553521382,  2015026501,The last fifth grade of Emerson Elementary / Laura Shovan.
9780553521535,  2015005879,This is my dollhouse / Giselle Potter.
9780553521542,  2015005879,This is my dollhouse / Giselle Potter.
9780553536652,  2015030676,Come over to my house / by Dr. Seuss ; illustrated by Katie Kath.
9780553536669,  2015030676,Come over to my house / by Dr. Seuss ; illustrated by Katie Kath.
